check_id,category,source,document,location,check_type,expected,observed,passed,details
response.uo_documented_windows,urine_output_sensitivity,W3_uo_multiseed_sensitivity/uo_multiseed_scenario_summary.csv,JTIM_Point-by-point_Response.docx,R1.4 response,anchored_text_tokens,"[""1,043 patients"", ""median agreement 0.835"", ""median ARI 0.523""]","Before refitting, raw-event reconstruction established that the archived six-hour field represented the arithmetic mean of recorded events (99.993% exact agreement; mean absolute error 0.00064; one discrepancy among 14,846 evaluable windows). The documented-window sensitivity retained 1,043 patients and all three independent full-length initializations converged and met the prespecified stability criteria (median agreement 0.835; median ARI 0.523; median NMI 0.438). We note plainly that an ARI of 0.523 means roughly one patient in six is assigned differently; the trajectory shapes recur, individual assignment is only moderately stable, and we do not claim otherwise.",True,all expected source-derived tokens present
response.uo_high_coverage,urine_output_sensitivity,W3_uo_multiseed_sensitivity/uo_multiseed_scenario_summary.csv,JTIM_Point-by-point_Response.docx,R1.4 response,anchored_text_tokens,"[""415 patients"", ""41.7%""]","The stricter ≥50%-coverage restriction retained 415 patients (29.3%) and yielded no stable PW component in any of the three initializations, with up to 41.7% of component-mean chains showing high lag-1 autocorrelation. Table S16b measures what the filter does. PW patients contribute a median of 4 documented windows against 9 for RR; the filter retains 22.4% of PW against 31.0% of RR and leaves only 28 PW patients in the analysed population. This provides limited support for a stable third component, and the poor mixing is consistent with selection-related depletion. The result does not establish a single causal explanation and is not evidence that PW is absent from the full cohort.",True,all expected source-derived tokens present
response.mortality,mortality,W5_independent_outcomes/outcome_adjusted_effects.csv,JTIM_Point-by-point_Response.docx,E.3 response,anchored_text_tokens,"[""2.89 (95% CI 2.41–3.46)"", ""9.89 (95% CI 7.73–12.66)"", ""1.93 (95% CI 1.29–2.89)"", ""8.40 (95% CI 5.23–13.48)"", ""2.03 (95% CI 1.59–2.59)"", ""5.56 (95% CI 4.03–7.67)""]","The principal independent endpoint is 28-day mortality. We fitted cohort-specific binomial generalized linear models with HC3 robust standard errors, adjusting for age, sex, AKI stage at first diagnosis, log-transformed baseline SCr, and onset nonrenal SOFA score. Relative to RR, adjusted ORs for DR and PW were 2.89 (95% CI 2.41–3.46) and 9.89 (95% CI 7.73–12.66) in MIMIC-IV; 1.93 (95% CI 1.29–2.89) and 8.40 (95% CI 5.23–13.48) in eICU-CRD; and 2.03 (95% CI 1.59–2.59) and 5.56 (95% CI 4.03–7.67) in AmsterdamUMCdb.",True,all expected source-derived tokens present
response.diuretic,diuretic,W6_diuretic_exploratory/early_first_dose_pooled_models.csv,JTIM_Point-by-point_Response.docx,E.4 response,anchored_text_tokens,"[""0.592"", ""0.331–1.060"", ""1.129"", ""0.567–2.249""]","In a restricted first-dose 24-hour landmark analysis among treated patients, response was not consistently associated with 28-day mortality: adjusted OR 0.592 (95% CI 0.331–1.060; P = 0.078) in MIMIC-IV and 1.129 (95% CI 0.567–2.249; P = 0.729) in AmsterdamUMCdb. Table S19 now reports the same three evaluated response definitions shown in Figure S14, including the absolute ≥200 mL definition; this sensitivity analysis was also inconsistent across cohorts (MIMIC-IV OR 0.592, 95% CI 0.331–1.060; AmsterdamUMCdb OR 1.117, 95% CI 0.559–2.229). The response-by-phenotype interaction was present in MIMIC-IV (P = 0.040) but not AmsterdamUMCdb (P = 0.785), and no phenotype-specific pattern replicated across cohorts. We retain these results only as exploratory associations in the Supplement and explicitly distinguish the analysis from a standardized furosemide stress test and from estimation of a treatment effect.",True,all expected source-derived tokens present
response.classifier,classifier,W4_classifier_validation/primary_and_comparator_metrics.csv,JTIM_Point-by-point_Response.docx,E.5 response,anchored_text_tokens,"[""0.769"", ""0.528"", ""0.504"", ""0.576"", ""0.769"", ""0.578"", ""0.583"", ""0.407""]","We also compared the exact-version replay of the archived AutoGluon XGBoost_BAG_L2 model with a simple six-variable multinomial logistic comparator using minimum and maximum SCr, minimum and maximum SCr/baseline SCr ratio, and minimum and mean urine output on the same evaluation splits. On external AmsterdamUMCdb, the archived model versus the simple comparator yielded macro OvO AUC 0.769 versus 0.769, balanced accuracy 0.528 versus 0.578, macro F1 0.504 versus 0.583, and multiclass Brier score 0.576 versus 0.407, respectively.",True,all expected source-derived tokens present
classifier.incremental_value_interpretation,classifier,W4_classifier_validation/paired_incremental_value.csv,JTIM_Revised_Manuscript_clean.docx,Results — Classifier,source_ci_interpretation,external AUC CI crosses 0; balanced accuracy/F1 worse; Brier worse,"{""difference_autogluon_minus_simple"":{""balanced_accuracy"":-0.0496068063,""f1_macro"":-0.0793390886,""auc_ovo_macro"":-0.0000968431,""multiclass_brier"":0.1692066088},""ci_low"":{""balanced_accuracy"":-0.0709677572,""f1_macro"":-0.1007731441,""auc_ovo_macro"":-0.0129633819,""multiclass_brier"":0.1548689971},""ci_high"":{""balanced_accuracy"":-0.0276428161,""f1_macro"":-0.0580771908,""auc_ovo_macro"":0.0121520674,""multiclass_brier"":0.1832358783}}",True,validates the narrative claim of no external incremental advantage
manuscript_clean.table1_patient_counts,population,W2_cross_cohort_inputs/cluster_label_counts.csv,JTIM_Revised_Manuscript_clean.docx,Table 1 — Patient number,table_row_identity,"[""Patient number"", ""4713"", ""3055"", ""1298"", ""360"", """", ""2183"", ""1400"", ""564"", ""219"", """", ""1417"", ""869"", ""423"", ""125"", """"]","[""Patient number"", ""4713"", ""3055"", ""1298"", ""360"", """", ""2183"", ""1400"", ""564"", ""219"", """", ""1417"", ""869"", ""423"", ""125"", """"]",True,mismatch_count=0
manuscript_highlight.table1_patient_counts,population,W2_cross_cohort_inputs/cluster_label_counts.csv,JTIM_Revised_Manuscript_highlight.docx,Table 1 — Patient number,table_row_identity,"[""Patient number"", ""4713"", ""3055"", ""1298"", ""360"", """", ""2183"", ""1400"", ""564"", ""219"", """", ""1417"", ""869"", ""423"", ""125"", """"]","[""Patient number"", ""4713"", ""3055"", ""1298"", ""360"", """", ""2183"", ""1400"", ""564"", ""219"", """", ""1417"", ""869"", ""423"", ""125"", """"]",True,mismatch_count=0
supplement.table_s1,cluster_selection,W3_fresh_k_grid/fresh_k_grid_summary.csv,JTIM_Revised_Supplementary_material.docx,Table S1,table_cell_identity,13 rows; 78 cells,13 rows; 78 cells,True,"{""matching_tables"": 1, ""selected_occurrence"": 0, ""mismatch_count"": 0, ""mismatches"": []}"
supplement.table_s2_eicu,data_integrity,W1_table_s2_audit/eicu_table_s2_verified.csv,JTIM_Revised_Supplementary_material.docx,Table S2 — eICU-CRD block,source_to_selected_table_cells,"[[""Characteristic"", ""Overall"", ""RR"", ""DR"", ""PW"", ""P value""], [""Patient number, N"", ""1417"", ""869"", ""423"", ""125"", """"], [""Myocardial infarct, n (%)"", ""47 (3.3)"", ""20 (2.3)"", ""19 (4.5)"", ""8 (6.4)"", ""0.016""], [""Congestive heart failure, n (%)"", ""178 (12.6)"", ""87 (10.0)"", ""76 (18.0)"", ""15 (12.0)"", ""<0.001""], [""Peripheral vascular disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Cerebrovascular disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Chronic pulmonary disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Hepatic disease, n (%)"", ""92 (6.5)"", ""41 (4.7)"", ""34 (8.0)"", ""17 (13.6)"", ""<0.001""], [""Diabetes, n (%)"", ""250 (17.6)"", ""135 (15.5)"", ""96 (22.7)"", ""19 (15.2)"", ""0.005""], [""Hypertension, n (%)"", ""275 (19.4)"", ""170 (19.6)"", ""86 (20.3)"", ""19 (15.2)"", ""0.436""], [""Respiratory failure, n (%)"", ""620 (43.8)"", ""346 (39.8)"", ""207 (48.9)"", ""67 (53.6)"", ""0.001""], [""Septic shock, n (%)"", ""466 (32.9)"", ""278 (32.0)"", ""137 (32.4)"", ""51 (40.8)"", ""0.142""], [""Acidosis, n (%)"", ""115 (8.1)"", ""61 (7.0)"", ""37 (8.7)"", ""17 (13.6)"", ""0.036""]]","[[""Characteristic"", ""Overall"", ""RR"", ""DR"", ""PW"", ""P value""], [""Patient number, N"", ""1417"", ""869"", ""423"", ""125"", """"], [""Myocardial infarct, n (%)"", ""47 (3.3)"", ""20 (2.3)"", ""19 (4.5)"", ""8 (6.4)"", ""0.016""], [""Congestive heart failure, n (%)"", ""178 (12.6)"", ""87 (10.0)"", ""76 (18.0)"", ""15 (12.0)"", ""<0.001""], [""Peripheral vascular disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Cerebrovascular disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Chronic pulmonary disease, n (%)"", ""—"", ""—"", ""—"", ""—"", ""—""], [""Hepatic disease, n (%)"", ""92 (6.5)"", ""41 (4.7)"", ""34 (8.0)"", ""17 (13.6)"", ""<0.001""], [""Diabetes, n (%)"", ""250 (17.6)"", ""135 (15.5)"", ""96 (22.7)"", ""19 (15.2)"", ""0.005""], [""Hypertension, n (%)"", ""275 (19.4)"", ""170 (19.6)"", ""86 (20.3)"", ""19 (15.2)"", ""0.436""], [""Respiratory failure, n (%)"", ""620 (43.8)"", ""346 (39.8)"", ""207 (48.9)"", ""67 (53.6)"", ""0.001""], [""Septic shock, n (%)"", ""466 (32.9)"", ""278 (32.0)"", ""137 (32.4)"", ""51 (40.8)"", ""0.142""], [""Acidosis, n (%)"", ""115 (8.1)"", ""61 (7.0)"", ""37 (8.7)"", ""17 (13.6)"", ""0.036""]]",True,"{""matching_tables"": 1, ""mismatches"": []}"
