common_variable,display_name,common_unit,analysis_role,mimic_iv_analysis_field,mimic_iv_availability,eicu_crd_analysis_field,eicu_crd_availability,amsterdamumcdb_analysis_field,amsterdamumcdb_availability,six_hour_aggregation,harmonization_or_range_rule,missing_window_rule,authoritative_analytical_source,cohort_specific_extraction_code,revision_output_and_qa
crea_divide_basecrea,Creatinine/baseline creatinine,ratio,clustering,crea_divide_basecrea,available in frozen matrix,crea_divide_basecrea,available in frozen matrix,crea_divide_basecrea,available in frozen matrix,arithmetic mean across available patient-window rows,Window creatinine divided by the non-imputed archived baseline value,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
bun,Blood urea nitrogen,mg/dL,clustering and characterization,bun,available in frozen matrix,bun,available in frozen matrix,not available in frozen matrix,not available,arithmetic mean across available patient-window rows,Unavailable in the AmsterdamUMCdb executable clustering matrix,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
heart_rate,Heart rate,beats/min,characterization,heart_rate,available in frozen matrix,heart_rate,available in frozen matrix,heart_rate,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
dbp,Diastolic blood pressure,mmHg,characterization,dbp,available in frozen matrix,dbp,available in frozen matrix,dbp,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
sbp,Systolic blood pressure,mmHg,characterization,sbp,available in frozen matrix,sbp,available in frozen matrix,sbp,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
mbp,Mean blood pressure,mmHg,characterization,mbp,available in frozen matrix,mbp,available in frozen matrix,mbp,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
wbc,White blood cell count,10^9/L,characterization,wbc,available in frozen matrix,wbc,available in frozen matrix,wbc,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
temperature,Temperature,degrees C,characterization,temperature,available in frozen matrix,temperature,available in frozen matrix,temperature,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
pco2,PaCO2,mmHg,characterization,pco2,available in frozen matrix,pco2,available in frozen matrix,pco2,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
baseexcess,Base excess,mmol/L,characterization,baseexcess,available in frozen matrix,baseexcess,available in frozen matrix,baseexcess,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
ph,pH,unitless,characterization,ph,available in frozen matrix,ph,available in frozen matrix,ph,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
aniongap,Anion gap,mmol/L,characterization,aniongap,available in frozen matrix,aniongap,available in frozen matrix,aniongap,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
lactate,Lactate,mmol/L,characterization,lactate,available in frozen matrix,lactate,available in frozen matrix,lactate,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
bicarbonate,Bicarbonate,mmol/L,characterization,bicarbonate,available in frozen matrix,bicarbonate,available in frozen matrix,bicarbonate,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
glucose,Glucose,mg/dL,characterization,glucose,available in frozen matrix,glucose,available in frozen matrix,glucose,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
hematocrit,Hematocrit,%,characterization,hematocrit,available in frozen matrix,hematocrit,available in frozen matrix,hematocrit,available in frozen matrix,arithmetic mean across available patient-window rows,Fractions 0.05–0.80 multiplied by 100; percentages 5–80 retained; other values removed,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
hemoglobin,Hemoglobin,g/dL,characterization,hemoglobin,available in frozen matrix,hemoglobin,available in frozen matrix,hemoglobin,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
platelets,Platelet count,10^9/L,characterization,platelets,available in frozen matrix,platelets,available in frozen matrix,not available in frozen matrix,not available,arithmetic mean across available patient-window rows,Unavailable in the AmsterdamUMCdb merged longitudinal table,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
bilirubin,Total bilirubin,mg/dL,characterization,bilirubin,available in frozen matrix,bilirubin,available in frozen matrix,bilirubin,available in frozen matrix,arithmetic mean across available patient-window rows,AmsterdamUMCdb µmol/L divided by 17.1,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
inr,International normalized ratio,ratio,characterization,inr,available in frozen matrix,not available in frozen matrix,not available,inr,available in frozen matrix,arithmetic mean across available patient-window rows,Unavailable where absent in the frozen cohort matrix,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
pt,Prothrombin time,s,characterization,pt,available in frozen matrix,pt,available in frozen matrix,pt,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
ptt,Partial thromboplastin time,s,characterization,ptt,available in frozen matrix,ptt,available in frozen matrix,ptt,available in frozen matrix,arithmetic mean across available patient-window rows,Mean across available 6-h rows,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
alp,Alkaline phosphatase,U/L,characterization,alp,available in frozen matrix,alp,available in frozen matrix,not available in frozen matrix,not available,arithmetic mean across available patient-window rows,Unavailable in the AmsterdamUMCdb merged longitudinal table,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
ast,Aspartate aminotransferase,U/L,characterization,ast,available in frozen matrix,ast,available in frozen matrix,not available in frozen matrix,not available,arithmetic mean across available patient-window rows,Unavailable in the AmsterdamUMCdb merged longitudinal table,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
alt,Alanine aminotransferase,U/L,characterization,alt,available in frozen matrix,alt,available in frozen matrix,not available in frozen matrix,not available,arithmetic mean across available patient-window rows,Unavailable in the AmsterdamUMCdb merged longitudinal table,preserved as missing at source-matrix audit stage; analysis-specific handling documented in Methods,00_frozen_inputs/data_snapshot/remote_project_snapshot/04.other_feature_in_three_dataset/00.data_merge/df_saki_timeseries_feature_all.csv,publication_code/01.MIMICIV_SAKI_trajCluster/step1_data preparation.py; publication_code/03.eICU_SAKI_trajCluster/step1_data preparation.py; publication_code/02.AUMCdb_SAKI_trajCluster/step1_data preparation.py,harmonized_longitudinal_long.csv; Tables S3–S5; source-to-generated comparison and range/unit QA
